UMAP_1,UMAP_2,kmeans_cluster
7.4336553,-3.204455,4
6.8676763,-8.592548,6
11.202613,-0.31776026,13
11.109158,-0.16649692,13
6.7392855,-8.273721,6
10.915662,-0.64180267,13
8.885016,-6.2678823,14
3.8046324,-5.077986,0
6.394109,-9.517119,6
6.9309015,-9.133511,6
18.625776,5.731241,16
10.8967905,-0.71029073,13
7.512589,0.36835685,9
-8.373176,3.7233255,5
6.815058,-9.347735,6
7.392566,-3.2586708,4
10.969758,-0.4316855,13
6.977205,-9.144873,6
6.345943,-9.54815,6
6.837367,-9.373569,6
18.685127,4.6169553,16
1.0260152,3.6519125,10
7.2980156,-3.3625236,4
9.461846,-6.143054,14
7.490136,0.40610522,9
8.949117,-6.245623,14
6.511283,-9.350478,6
9.154557,-6.166532,14
11.212929,-0.5057517,13
7.486265,0.38515517,9
0.9585746,3.8487248,10
7.4179726,-3.2083416,4
10.979823,-0.3153497,13
6.9305496,-9.541249,6
9.849671,-1.2029597,13
4.4737306,4.743491,2
7.7786427,-3.873553,4
10.330728,-0.5493091,13
6.7677283,-9.262308,6
6.4945583,-9.334508,6
6.1997147,-9.354418,6
6.381244,-9.640579,6
6.9726267,-9.546157,6
17.67744,4.44593,16
9.491433,-6.192804,14
-9.046518,3.7899115,5
3.7435744,-5.0750966,0
3.895762,-5.0738754,0
7.0064907,-9.53491,6
3.7804542,-5.0826945,0
16.63965,6.5802364,3
11.056337,-0.44599342,13
18.425028,4.5249686,16
17.693022,4.43612,16
6.9750423,-9.116238,6
18.081732,3.7829797,16
18.07803,3.7815225,16
9.406569,-6.372754,14
10.984738,-0.27284843,13
6.3362107,-9.141494,6
6.967388,-9.3398,6
10.998818,-0.39568505,13
18.935677,3.2552972,16
19.003681,3.200349,16
9.345806,-6.395575,14
3.7048788,-5.023227,0
3.7983704,-5.1211123,0
10.561034,-0.31232098,13
9.373375,-6.390736,14
0.69721043,4.075841,10
8.74839,-6.313815,14
6.9648275,-7.4355855,6
10.968782,-0.47864005,13
6.169017,-2.9528599,4
7.446262,-3.2072794,4
9.338219,-6.3136277,14
10.957704,-0.41303167,13
7.8255954,0.63775456,9
11.220469,-0.51819366,13
6.932924,-7.3462443,6
7.3861156,-3.2548103,4
0.24398676,5.9545455,8
6.5160575,-9.315871,6
3.6974094,-5.0138955,0
7.4949174,0.366059,9
6.9046645,-9.508144,6
7.48754,0.37068298,9
1.0162141,3.6145632,10
6.9491367,-9.125367,6
6.862783,-9.236719,6
18.915253,3.2779014,16
18.085941,3.8084602,16
1.0268204,3.6315644,10
-8.36949,3.711885,5
-9.10804,3.8439372,5
6.811759,-9.196458,6
9.514337,-6.207501,14
6.963679,-9.125388,6
6.3535395,-9.191697,6
18.104456,5.479411,16
6.373116,-9.644595,6
6.900109,-8.530894,6
-9.096238,3.837999,5
6.474635,7.410736,7
18.630272,5.7056284,16
6.624209,-8.47172,6
6.217209,-9.346073,6
0.997507,3.6068852,10
6.906547,-7.3996525,6
0.74618477,3.576155,10
11.005007,-0.14962156,13
19.021624,3.2115314,16
6.5390387,-9.039379,6
9.522432,-6.1547937,14
0.29229796,6.8832574,8
10.382043,-0.50492454,13
3.8237371,-5.0582194,0
19.064655,3.2014751,16
6.614821,-8.665968,6
6.388243,-9.611374,6
9.493898,-6.2150636,14
3.6207352,-4.8878045,0
3.945874,-4.9452167,0
6.8853626,-7.304412,6
